Date,Open,High,Low,Close,Volume,Adj Close
2018-01-04,10360,10435,10290,10435,507000,10435
2018-01-05,10435,10440,10310,10370,646200,10370
2018-01-09,10400,10400,10255,10350,683300,10350
2018-01-10,10330,10335,10220,10260,540500,10260
2018-01-11,10340,10945,10330,10945,1911400,10945
2018-01-12,10920,10925,10585,10740,1088500,10740
2018-01-15,10745,10905,10655,10875,600200,10875
2018-01-16,10860,10975,10730,10925,643000,10925
2018-01-17,10850,11065,10830,10970,717400,10970
2018-01-18,11270,11300,10915,10940,1020000,10940
2018-01-19,10930,11000,10865,10935,546700,10935
2018-01-22,10910,10930,10780,10845,460000,10845
2018-01-23,10865,11025,10865,11005,447100,11005
2018-01-24,11010,11080,10945,10975,474900,10975
2018-01-25,10900,11020,10875,10960,331900,10960
2018-01-26,10970,11080,10910,11025,480900,11025
2018-01-29,11135,11330,11100,11120,942500,11120
2018-01-30,11160,11190,10930,11010,859600,11010
2018-01-31,10710,10820,10425,10660,1712000,10660
2018-02-01,10750,10965,10640,10945,822200,10945
2018-02-02,10945,10990,10750,10890,587500,10890
2018-02-05,10695,10770,10625,10625,666600,10625
2018-02-06,10025,10290,9910,10065,1723100,10065
2018-02-07,10520,10620,10085,10095,1113800,10095
2018-02-08,10170,10305,10145,10210,641800,10210
2018-02-09,9921,10270,9909,10265,989000,10265
2018-02-13,10330,10470,10275,10315,811900,10315
2018-02-14,10305,10355,10210,10300,571100,10300
2018-02-15,10360,10490,10280,10340,560200,10340
2018-02-16,10380,10535,10335,10465,569800,10465
2018-02-19,10610,10760,10540,10755,484900,10755
2018-02-20,10760,10775,10620,10665,491900,10665
2018-02-21,10750,10830,10690,10740,425900,10740
2018-02-22,10755,10815,10635,10725,524500,10725
2018-02-23,10725,10770,10650,10655,503800,10655
2018-02-26,10655,10695,10555,10640,404100,10640
2018-02-27,10700,10705,10435,10465,673600,10465
2018-02-28,10425,10575,10415,10420,644800,10420
2018-03-01,10390,10420,10215,10245,653400,10245
2018-03-02,10100,10335,10075,10295,579500,10295
2018-03-05,10205,10415,10200,10345,376100,10345
2018-03-06,10455,10515,10390,10455,567100,10455
2018-03-07,10400,10495,10345,10355,449700,10355
2018-03-08,10440,10440,10265,10300,360100,10300
2018-03-09,10430,10470,10250,10320,707900,10320
2018-03-12,10440,10440,10325,10390,526100,10390
2018-03-13,10350,10450,10350,10450,358600,10450
2018-03-14,10400,10455,10325,10375,461700,10375
2018-03-15,10350,10465,10320,10455,357400,10455
2018-03-16,10500,10540,10455,10475,607800,10475
2018-03-19,10475,10480,10310,10365,383700,10365
2018-03-20,10305,10375,10230,10375,357700,10375
2018-03-22,10350,10640,10350,10625,622100,10625
2018-03-23,10425,10525,10375,10410,857400,10410
2018-03-26,10380,10420,10215,10330,804400,10330
2018-03-27,10400,10685,10380,10685,1520300,10685
2018-03-28,10500,10705,10445,10700,854200,10700
2018-03-29,10735,10865,10700,10790,571800,10790
2018-03-30,10880,10920,10805,10865,603700,10865
2018-04-02,10740,10815,10570,10575,605700,10575
2018-04-03,10500,10840,10460,10825,800600,10825
2018-04-04,10830,10870,10620,10830,739200,10830
2018-04-05,10875,11010,10815,10940,671100,10940
2018-04-06,10935,11045,10885,10920,571500,10920
2018-04-09,10920,11245,10875,11165,721300,11165
2018-04-10,11165,11355,11070,11070,809900,11070
2018-04-11,11070,11080,10710,10735,735700,10735
2018-04-12,10745,10830,10660,10760,398600,10760
2018-04-13,10790,10790,10560,10580,543900,10580
2018-04-16,10740,10915,10705,10810,501600,10810
2018-04-17,10795,10805,10705,10755,314900,10755
