,Open,High,Low,Close,Volume
2018-09-27,696.0,699.0,596.0,604.0,2957100.0
2018-09-28,704.0,704.0,704.0,704.0,83900.0
2018-10-01,854.0,854.0,854.0,854.0,32400.0
2018-10-02,1004.0,1004.0,1004.0,1004.0,37200.0
2018-10-03,1300.0,1597.0,1231.0,1369.0,6823000.0
2018-10-04,1467.0,1489.0,1211.0,1339.0,3598400.0
2018-10-05,1279.0,1429.0,1245.0,1282.0,3211400.0
2018-10-09,1244.0,1268.0,1040.0,1060.0,848100.0
2018-10-10,1083.0,1360.0,1083.0,1360.0,3108600.0
2018-10-11,1240.0,1429.0,1181.0,1317.0,2371500.0
2018-10-12,1407.0,1587.0,1312.0,1346.0,3610900.0
2018-10-15,1370.0,1411.0,1207.0,1238.0,722800.0
2018-10-16,1200.0,1293.0,1116.0,1200.0,462400.0
2018-10-17,1247.0,1284.0,1202.0,1220.0,257900.0
2018-10-18,1200.0,1207.0,1121.0,1135.0,177100.0
2018-10-19,1082.0,1117.0,1059.0,1094.0,136800.0
2018-10-22,1082.0,1097.0,1039.0,1084.0,90400.0
2018-10-23,1060.0,1069.0,979.0,1002.0,138100.0
2018-10-24,1020.0,1025.0,903.0,903.0,94800.0
2018-10-25,878.0,1053.0,854.0,1053.0,720900.0
2018-10-26,1054.0,1111.0,912.0,920.0,447600.0
2018-10-29,933.0,959.0,812.0,834.0,157200.0
2018-10-30,900.0,929.0,840.0,853.0,260300.0
2018-10-31,868.0,948.0,860.0,891.0,200200.0
2018-11-01,906.0,999.0,877.0,996.0,181700.0
2018-11-02,966.0,1030.0,930.0,990.0,165100.0
2018-11-05,975.0,1105.0,958.0,1053.0,350800.0
2018-11-06,1083.0,1135.0,1002.0,1009.0,230900.0
2018-11-07,1001.0,1048.0,994.0,1038.0,95900.0
2018-11-08,1035.0,1070.0,1015.0,1038.0,88200.0
2018-11-09,1038.0,1038.0,988.0,993.0,72900.0
2018-11-12,963.0,999.0,947.0,959.0,59900.0
2018-11-13,936.0,945.0,900.0,942.0,63500.0
2018-11-14,999.0,1000.0,903.0,903.0,88000.0
2018-11-15,900.0,920.0,876.0,882.0,39600.0
2018-11-16,867.0,887.0,820.0,820.0,59800.0
2018-11-19,835.0,875.0,802.0,849.0,36300.0
2018-11-20,824.0,845.0,802.0,824.0,24100.0
2018-11-21,809.0,857.0,807.0,857.0,30500.0
2018-11-22,853.0,881.0,818.0,843.0,50300.0
2018-11-26,840.0,873.0,840.0,860.0,25200.0
2018-11-27,852.0,864.0,832.0,835.0,21800.0
2018-11-28,835.0,835.0,803.0,822.0,23000.0
2018-11-29,843.0,857.0,803.0,806.0,48500.0
2018-11-30,814.0,817.0,795.0,802.0,33500.0
2018-12-03,824.0,835.0,806.0,809.0,32900.0
2018-12-04,810.0,817.0,772.0,779.0,49200.0
2018-12-05,749.0,766.0,741.0,753.0,43000.0
2018-12-06,753.0,759.0,705.0,715.0,36000.0
2018-12-07,712.0,729.0,690.0,704.0,49300.0
2018-12-10,728.0,836.0,702.0,715.0,298700.0
2018-12-11,715.0,743.0,694.0,710.0,86500.0
2018-12-12,712.0,734.0,707.0,727.0,27700.0
2018-12-13,736.0,810.0,736.0,785.0,135200.0
2018-12-14,785.0,803.0,731.0,732.0,90400.0
2018-12-17,740.0,740.0,700.0,704.0,42500.0
2018-12-18,679.0,680.0,645.0,645.0,60000.0
2018-12-19,673.0,673.0,639.0,648.0,28100.0
2018-12-20,638.0,645.0,599.0,602.0,44400.0
2018-12-21,573.0,630.0,536.0,596.0,80200.0
2018-12-25,556.0,617.0,536.0,536.0,86600.0
